hpirank,country,region,lifeexp,wellbein,happylif,footprin,hpindex,gdpcap,govern,gini2,lgovern
109,Afghanistan,3b,48.700001,4.7583809,28.96389,.54033363,36.753658,1207.2803,150,29.4,5.0106354
18,Albania,7b,76.900002,5.2689366,48.771133,1.8119056,54.051182,8592.1689,65,34.5,4.1743875
26,Algeria,3a,73.099998,5.2369609,46.180393,1.6481423,52.181297,8432.875,118,35.299999,4.7706847
127,Angola,4a,51.099998,4.2060914,28.209269,.89061093,33.201431,6186.4902,129,58.599998,4.8598123
17,Argentina,1b,75.900002,6.4410672,55.015278,2.7090712,54.055042,16011.673,73,45.799999,4.2904596
53,Armenia,7a,74.199997,4.3678112,41.88916,1.7334405,46.003185,5463.2031,77,30.9,4.3438053
76,Australia,2a,81.900002,7.4056163,65.471977,6.6849914,41.979813,38159.633,10,30.5,2.3025851
48,Austria,2c,80.900002,7.346036,64.299904,5.2913456,47.085136,40006.188,11,26,2.3978953
80,Azerbaijan,7a,70.699997,4.2186108,39.097694,1.9688118,40.884571,9935.9248,114,33.700001,4.7361984
146,Bahrain,3b,75.099998,4.5494657,43.452007,6.6451306,26.617849,25799.492,52,,3.9512436
11,Bangladesh,5a,68.900002,4.9856491,42.188328,.65655881,56.292,1659.1519,117,33.200001,4.7621741
103,Belarus,7c,70.300003,5.5259233,45.982109,3.9878256,37.4146,13928.826,126,27.200001,4.8362818
107,Belgium,2c,80,6.8535142,60.538204,7.1105127,37.090527,37631.063,18,28,2.8903718
4,Belize,1a,76.099998,6.4506445,55.216595,2.10917,59.289845,6669.8208,63,53.099998,4.1431346
132,Benin,4c,56.099998,3.6671395,28.631817,1.3557198,31.083208,1587.3403,76,36.5,4.3307333
64,Bolivia,1b,66.599998,5.7806201,44.873489,2.6060548,43.577908,4849.3179,95,58.200001,4.5538769
74,Bosnia and Herzegovina,7b,75.699997,4.6685176,44.495945,2.7387042,42.354561,8689.5088,86,36.200001,4.4543471
151,Botswana,4a,53.200001,3.5530202,26.682346,2.8428447,22.591173,13893.064,39,,3.6635616
21,Brazil,1b,73.5,6.8373313,55.527512,2.9347646,52.931995,11210.391,53,51.900002,3.9702919
123,Bulgaria,7b,73.400002,4.2203674,40.600788,3.5647745,34.145378,13930.649,49,45.299999,3.8918202
129,Burkina Faso,4c,55.400002,4.0355606,29.85261,1.5257863,31.79385,1255.9371,75,39.5,4.3174882
135,Burundi,4b,50.400002,3.7916808,26.208004,.84537756,30.515013,408.55356,134,42.400002,4.89784
85,Cambodia,6c,63.099998,4.1612253,34.614868,1.1934211,40.322922,2193.9685,115,44.400002,4.7449322
124,Cameroon,4c,51.599998,4.4338851,29.394068,1.0879252,33.686687,2294.3606,119,44.599998,4.7791233
65,Canada,2b,81,7.6503463,66.285141,6.4285378,43.559837,39050.168,9,32.099998,2.1972246
148,Central African Republic,4a,48.400002,3.5678926,24.33057,1.3566049,25.25646,788.88556,141,61.299999,4.94876
150,Chad,4b,49.599998,3.742871,25.604826,1.8914177,24.681898,1370.1844,143,39.799999,4.9628448
19,Chile,1b,79.099998,6.6356559,58.524799,3.2377863,53.883339,15779.26,23,52.099998,3.1354942
60,China,6a,73.5,4.6527367,43.113125,2.1302893,44.660736,7598.835,99,48,4.59512
3,Colombia,1b,73.699997,6.4081135,53.232857,1.8010678,59.751022,9452.7959,80,56,4.3820267
112,Comoros,4a,61.099998,3.9235129,32.394775,1.30428,36.504475,1096.3735,127,64.300003,4.8441873
121,Congo,4a,57.400002,3.8197923,29.972759,1.0818162,34.547039,4245.1782,128,47.299999,4.8520303
134,"Congo, Dem. Rep. of the",4a,48.400002,3.9838486,25.88711,.75814879,30.547718,346.97189,148,,4.9972124
1,Costa Rica,1a,79.300003,7.2710538,62.568485,2.5200279,64.035927,11568.608,40,50.299999,3.6888795
113,Cote d'Ivoire,4c,55.400002,4.1971817,30.544878,.99459344,35.933727,1899.1771,137,41.5,4.919981
82,Croatia,7b,76.599998,5.5955753,50.515343,4.1935854,40.623722,19543.281,44,27,3.7841897
12,Cuba,1a,79.099998,5.4178686,51.077221,1.8953947,56.18615,5253,93,,4.5325994
59,Cyprus,2e,79.599998,6.3865461,57.361641,4.4418459,45.508549,31092.277,24,29,3.1780539
92,Czech Republic,7b,77.699997,6.1522036,54.584663,5.2739654,39.353489,24517.902,27,31,3.2958369
110,Denmark,2d,78.800003,7.7705154,65.216934,8.2536364,36.61237,40162.59,2,24.799999,.69314718
106,Djibouti,4b,57.900002,5.0058107,35.543144,1.84912,37.238464,2308.0872,101,39.799999,4.6151204
33,Dominican Republic,1a,73.400002,4.7350211,43.521427,1.4225795,50.650116,9350.0879,88,48.400002,4.4773369
23,Ecuador,1b,75.599998,5.8380513,51.273163,2.3677018,52.481365,8027.5596,113,47.299999,4.7273879
91,Egypt,3a,73.199997,3.8769224,38.546429,2.0594645,39.644642,6179.9722,98,34.400002,4.5849676
5,El Salvador,1a,72.199997,6.7399111,54.001575,1.9932619,58.886974,6667.8481,61,46.900002,4.1108737
117,Estonia,7b,74.800003,5.1377387,46.680538,4.7347136,34.945347,20663.432,25,31.299999,3.2188759
94,Ethiopia,4b,59.299999,4.3700438,33.48769,1.1322913,39.181999,1041.0417,124,30,4.8202815
70,Finland,2d,80,7.3932643,63.876694,6.2111726,42.687145,36472.551,1,26.799999,0
50,France,2c,81.5,6.7979012,61.322865,4.9109206,46.523476,34123.195,19,32.700001,2.9444389
55,Georgia,7a,73.699997,4.1018372,40.091324,1.433689,45.972141,5074.1743,59,40.799999,4.0775375
46,Germany,2c,80.400002,6.7245312,60.039112,4.5662732,47.200386,37402.27,15,27,2.7080503
86,Ghana,4c,64.199997,4.6062517,37.427258,1.739154,40.298138,1643.8369,55,39.400002,4.0073333
83,Greece,2e,79.900002,5.8395586,54.198803,4.9207487,40.52512,28408.369,45,33,3.8066626
10,Guatemala,1a,71.199997,6.2897487,50.775547,1.7796103,56.861198,4784.9097,102,55.099998,4.6249728
137,Guinea,4c,54.099998,4.0445695,29.189781,1.7156414,29.959929,1090.649,139,39.400002,4.934474
31,Guyana,1a,69.900002,5.9928265,48.24379,2.0808101,51.169151,3431.7161,84,43.200001,4.4308167
78,Haiti,1a,62.099998,3.7659988,32.168697,.59845591,41.322899,1110.7319,133,59.200001,4.8903489
13,Honduras,1a,73.099998,5.8661313,49.736324,1.7328666,55.975605,3922.9282,103,57.700001,4.6347289
102,Hong Kong,6b,82.800003,5.6428347,54.906597,5.81111,37.525536,46501.727,14,53.299999,2.6390574
